nr_convenio;id_proposta
933976;1793270
934554;1798356
851797;1158241
776738;645638
715298;100915
831205;1063415
989601;2158901
888227;1488441
932759;1791505
824749;1029289
909865;1660053
959831;1963042
756493;454897
956594;1973873
848254;1167234
868975;1350275
818444;984508
895062;1515332
946318;1920132
815382;855260
810808;886693
841530;1132781
719320;53232
937747;1818196
833177;1083908
839375;1125400
881679;1405980
825080;1020474
745629;218412
895778;1520656
994974;2198584
993947;2184144
766796;515435
857715;1193037
874281;1336650
842155;1132771
976634;2103131
816575;952257
748774;288307
871762;1327167
706477;68205
893908;1518670
829715;1058436
897500;1536664
796791;791215
912473;1655143
981782;2132249
708210;46088
894366;1513165
727291;156092
959306;1972372
904618;1533313
832711;1083701
956173;1963644
982189;2119677
714582;107942
895203;1517819
897588;1533043
933370;1792396
890795;1463535
773821;591374
816803;954458
756386;481766
831813;1064804
809867;814954
859839;1164436
750467;362227
957993;1977400
882521;1419378
881618;1403628
726870;115138
879537;1385698
707870;65807
930343;1750703
921521;1721670
904407;1538968
980758;2133778
910146;1662412
725888;138106
989692;2155252
860739;1258669
836074;1088061
705600;75534
837035;1111244
889661;1420306
819088;1009608
804777;856508
809095;848912
907498;1609815
767701;479534
700423;5678
797307;767253
848126;1160465
951609;1918747
880169;1349767
985029;2138620
876478;1378317
824547;992315
934006;1793300
770714;607265
702181;32762
847463;1168033
978647;2090807
808737;861376
896428;1495419
723351;158717
873597;1350195
745761;214150
936398;1786355
990089;2158688
856350;1278643
736219;210612
988217;2149272
987543;2147634
761507;465355
977468;2091108
903428;1583785
805435;859038
800252;702579
971971;1987297
759506;445541
744613;308745
740961;318038
985640;2149648
843055;1160276
905415;1617158
891529;1420309
976683;2093965
847510;1174140
931321;1778306
750684;316242
768772;518275
857953;1257903
812789;912713
765771;528438
784534;737657
848356;1217094
750630;341489
972161;2017106
912748;1661551
733820;218119
805784;860754
821046;1014825
731655;98921
891585;1490908
790908;773359
884073;1431039
706522;94896
972788;1876640
820575;988182
953340;1944712
778137;628911
918414;1705103
865870;1330703
864813;1324937
776083;607524
782815;719850
925470;1727115
719105;114082
718652;114770
744250;247907
839839;1124777
834124;1084019
913619;1659128
991129;2161787
936837;1818986
809522;855532
963210;1994982
959631;1983497
908633;1613298
707921;80629
820338;988011
736052;296784
968577;2012396
838242;1118698
993995;2177463
929665;1767095
907939;1610883
819612;982148
886746;1425372
721157;139341
917555;1662671
909937;1663568
850948;1256848
990323;2161256
940976;1869240
735338;254302
948795;1925634
781613;603335
815757;918244
833206;1066212
753280;310073
988665;2154860
814705;840842
832939;1065750
924032;1732061
891751;1516581
704295;70242
712015;93969
858777;1145856
984484;2148162
707337;85547
728197;142306
835751;1069161
782482;705503
905698;1594436
836424;1106561
778938;620246
934033;1787846
918860;1686597
850561;1234549
913197;1671706
748548;306248
848447;1204995
811856;907793
824229;1003424
893101;1475930
908837;1616085
950830;1933398
791431;734100
764688;524797
737426;310055
972711;2040228
877171;1379060
810593;896247
723902;89171
963062;1971273
817004;960228
773105;613166
980397;2119879
800810;826624
847341;1160741
904661;1592643
878656;1325489
748312;192299
748711;254297
987568;2071554
719672;127696
984599;2148404
844086;1165981
704816;78097
916121;1683808
848141;1171691
734040;213615
940710;1856686
738046;209608
939908;1821652
820569;987983
800557;803758
743414;208419
778394;645811
816910;961230
712436;97849
871593;1332917
703269;43468
845475;1166541
895838;1495251
910984;1656955
921041;1699850
991221;2162989
866246;1335770
904731;1593716
891078;1514798
822661;1013830
801292;818215
752658;317563
752742;376064
967639;2013463
974013;2053788
886609;1428005
945782;1922205
990501;2115401
909592;1609947
928402;1748777
814407;918544
792378;765399
921376;1727243
966861;2006451
959300;1975776
771330;592648
751467;324229
909438;1598524
846773;1166707
727453;170609
726410;120827
819788;983048
727261;154820
737598;286798
791799;774488
798829;797722
969101;2015393
817747;984593
954303;1951711
880155;1328346
707290;53969
763481;495039
902725;1575450
908648;1612113
899344;1536718
718521;98106
987890;2143847
836846;1100722
730581;179152
929682;1767144
843790;1171940
744924;296322
848681;1216567
799055;770828
822937;1002470
769577;589850
800035;809443
715768;125019
953674;1949125
797919;731751
986713;2135867
839166;1123238
857332;1277153
743135;315038
926349;1753512
990528;2118511
966196;1970355
917079;1668143
791856;781064
860394;1257898
743052;312330
811817;911068
873847;1333919
942202;1852322
939817;1816399
867749;1327521
749296;310423
811959;902804
901442;1535709
940249;1829148
792523;733027
703735;56256
754110;304833
871011;1324922
848932;1170193
837758;1102085
708050;106140
825377;1033717
931290;1745783
970113;2010035
979235;2110927
708663;107383
954849;1950989
750326;339945
889572;1502067
926338;1753499
936297;1809618
756062;423119
897076;1520180
738545;310897
776938;635747
882393;1408890
826029;1040843
750771;327254
911859;1658494
842268;1132570
956872;1974739
825544;1036122
803188;862010
881244;1354734
731349;169016
909876;1658752
716762;113004
795909;765945
796059;775682
993244;2186127
874506;1338875
872197;1337568
766226;486514
964408;1966792
917954;1703684
747368;330342
891125;1483568
870310;1345195
723534;127562
765774;528584
914005;1662511
856790;1262335
867098;1333059
810640;894712
910062;1663461
824080;1030424
784598;718111
758387;446219
831920;1078490
987591;2114252
839982;1120838
734424;297076
933897;1793189
820637;990327
785968;729484
